V,I
0.0,1.23979819e-12
0.01,1.25004e-12
0.02,1.26379636e-12
0.03,1.2822781e-12
0.04,1.30711067e-12
0.05,1.34046767e-12
0.06,1.38528251e-12
0.07,1.44548436e-12
0.08,1.52635196e-12
0.09,1.63497167e-12
0.1,1.78085498e-12
0.11,1.97679026e-12
0.12,2.23990097e-12
0.13,2.59319996e-12
0.14,3.06754275e-12
0.15,3.70431116e-12
0.16,4.55899728e-12
0.17,5.70597736e-12
0.18,7.24488872e-12
0.19,9.30916629e-12
0.2,1.20774085e-11
0.21,1.57885042e-11
0.22,2.07617569e-11
0.23,2.74236328e-11
0.24,3.6343142e-11
0.25,4.82786901e-11
0.26,6.42398409e-11
0.27,8.55685852e-11
0.28,1.14045865e-10
0.29,1.52030718e-10
0.3,2.02641301e-10
0.31,2.69989172e-10
0.32,3.59480916e-10
0.33,4.78204087e-10
0.34,6.35417606e-10
0.35,8.43170107e-10
0.36,1.11707313e-09
0.37,1.47725891e-09
0.38,1.9495552e-09
0.39,2.56691145e-09
0.4,3.3711116e-09
0.41,4.41480974e-09
0.42,5.76392599e-09
0.43,7.50044261e-09
0.44,9.72564666e-09
0.45,1.25638762e-08
0.46,1.61668432e-08
0.47,2.07186255e-08
0.48,2.6441437e-08
0.49,3.36022893e-08
0.5,4.25206354e-08
0.51,5.35770185e-08
0.52,6.7222627e-08
0.53,8.39894683e-08
0.54,1.04500638e-07
0.55,1.2947989e-07
0.56,1.59759462e-07
0.57,1.96284923e-07
0.58,2.40115774e-07
0.59,2.92420627e-07
0.6,3.54466135e-07
0.61,4.27599375e-07
0.62,5.13224013e-07
0.63,6.12771335e-07
0.64,7.27667848e-07
0.65,8.59301622e-07
0.66,1.00898975e-06
0.67,1.17794921e-06
0.68,1.36727292e-06
0.69,1.57791233e-06
0.7,1.81066713e-06
0.71,2.06618179e-06
0.72,2.34494853e-06
0.73,2.64731534e-06
0.74,2.97349804e-06
0.75,3.32359475e-06
0.76,3.69760184e-06
0.77,4.09543001e-06
0.78,4.51691993e-06
0.79,4.96185662e-06
0.8,5.42998242e-06
0.81,5.92100821e-06
0.82,6.43462281e-06
0.83,6.97050084e-06
0.84,7.52830889e-06
0.85,8.1077104e-06
0.86,8.70836928e-06
0.87,9.32995258e-06
0.88,9.9721323e-06
0.89,1.06345865e-05
0.9,1.13170002e-05
0.91,1.20190651e-05
0.92,1.27404802e-05
0.93,1.34809509e-05
0.94,1.42401892e-05
0.95,1.50179127e-05
0.96,1.58138445e-05
0.97,1.66277125e-05
0.98,1.74592488e-05
0.99,1.83081891e-05
1.0,1.91742726e-05
1.01,2.00572412e-05
1.02,2.09568394e-05
1.03,2.18728136e-05
1.04,2.28049122e-05
1.05,2.3752885e-05
1.06,2.47164833e-05
1.07,2.56954595e-05
1.08,2.66895668e-05
1.09,2.76985596e-05
1.1,2.8722193e-05
1.11,2.97602228e-05
1.12,3.08124055e-05
1.13,3.18784983e-05
1.14,3.29582592e-05
1.15,3.40514468e-05
1.16,3.51578202e-05
1.17,3.62771396e-05
1.18,3.74091656e-05
1.19,3.85536599e-05
1.2,3.97103849e-05
